MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1009110024030,13.16,0.05,311.04060,-10.72362,53917.32503,0
1009110024030,13.15,0.05,311.04058,-10.72361,53917.33143,0
1009110024030,13.15,0.05,311.04056,-10.72353,53917.33784,0
1009110024030,13.08,0.06,311.04057,-10.72365,53903.36883,0
1009110024030,13.09,0.06,311.04057,-10.72355,53903.36989,0
1009110024030,13.09,0.06,311.04065,-10.72359,53903.37097,0
1009110024030,13.13,0.06,311.04067,-10.72348,53903.37200,0
1009110024030,13.13,0.05,311.04056,-10.72357,53905.34364,0
1009110024030,13.13,0.05,311.04058,-10.72360,53905.35124,0
1009110024030,13.13,0.05,311.04056,-10.72361,53905.35884,0
1009110024030,13.13,0.05,311.04060,-10.72360,53905.36651,0
1009110024030,13.11,0.05,311.04059,-10.72351,53857.44891,0
1009110024030,13.12,0.05,311.04059,-10.72362,53857.45494,0
1009110024030,13.12,0.05,311.04059,-10.72358,53857.46096,0
1009110024030,13.11,0.05,311.04054,-10.72358,53857.46698,0
1009110024030,13.10,0.05,311.04058,-10.72360,53875.41216,0
1009110024030,13.10,0.05,311.04056,-10.72360,53875.41805,0
1009110024030,13.10,0.05,311.04055,-10.72359,53875.42389,0
1009110024030,13.09,0.05,311.04056,-10.72360,53875.42977,0
1009110024030,13.11,0.05,311.04056,-10.72359,53881.38894,0
1009110024030,13.12,0.05,311.04058,-10.72360,53881.39925,0
1009110024030,13.11,0.05,311.04058,-10.72357,53881.40966,0
1009110024030,13.12,0.05,311.04057,-10.72359,53881.42000,0
1009110024030,13.08,0.05,311.04065,-10.72352,54061.07647,0
1009110024030,13.08,0.05,311.04065,-10.72351,54061.08462,0
1009110024030,13.09,0.05,311.04065,-10.72351,54061.09276,0
1009110024030,13.11,0.05,311.04066,-10.72349,54061.10089,0
1009110024030,13.21,0.05,311.04063,-10.72348,54010.12626,0
1009110024030,13.17,0.05,311.04064,-10.72351,54010.13227,0
1009110024030,13.19,0.05,311.04064,-10.72351,54010.13827,0
1009110024030,13.77,0.05,311.04063,-10.72350,54012.10652,0
1009110024030,13.62,0.05,311.04063,-10.72350,54012.10920,0
1009110024030,13.13,0.05,311.04063,-10.72351,54031.08609,0
1009110024030,13.12,0.05,311.04064,-10.72351,54031.09141,0
1009110024030,13.12,0.05,311.04063,-10.72350,54031.09674,0
1009110024030,13.12,0.05,311.04063,-10.72350,54031.10209,0
1009110024030,13.20,0.05,311.04063,-10.72353,53992.16077,0
1009110024030,13.20,0.05,311.04064,-10.72351,53992.16719,0
1009110024030,13.19,0.05,311.04064,-10.72352,53992.17358,0
1009110024030,13.19,0.05,311.04064,-10.72352,53992.18002,0
1009110024030,13.16,0.05,311.04060,-10.72351,54212.45778,0
1009110024030,13.16,0.05,311.04062,-10.72352,54212.46453,0
1009110024030,13.15,0.05,311.04063,-10.72352,54212.47116,0
1009110024030,13.16,0.05,311.04061,-10.72351,54212.47789,0
1009110024030,13.18,0.05,311.04068,-10.72351,54438.05321,0
1009110024030,13.15,0.05,311.04072,-10.72347,54438.05831,0
1009110024030,13.14,0.05,311.04062,-10.72353,54438.06341,0
1009110024030,13.14,0.05,311.04068,-10.72357,54438.06851,0
1009110024030,13.11,0.05,311.04062,-10.72353,54260.36572,0
1009110024030,13.10,0.05,311.04062,-10.72351,54260.37166,0
1009110024030,13.10,0.05,311.04063,-10.72351,54260.37761,0
1009110024030,13.10,0.05,311.04062,-10.72353,54260.38356,0
1009110024030,13.14,0.05,311.04065,-10.72352,54240.41188,0
1009110024030,13.16,0.05,311.04062,-10.72353,54240.42061,0
1009110024030,13.14,0.05,311.04063,-10.72350,54240.42938,0
1009110024030,13.14,0.05,311.04063,-10.72353,54240.43806,0
1009110024030,13.14,0.05,311.04063,-10.72351,54246.39511,0
1009110024030,13.15,0.05,311.04061,-10.72350,54246.40306,0
1009110024030,13.15,0.05,311.04063,-10.72352,54246.41096,0
1009110024030,13.15,0.05,311.04064,-10.72351,54246.41881,0
1009110024030,13.20,0.05,311.04063,-10.72353,54377.12539,0
1009110024030,13.20,0.05,311.04064,-10.72355,54377.13032,0
1009110024030,13.21,0.05,311.04063,-10.72353,54377.13520,0
1009110024030,13.21,0.05,311.04063,-10.72352,54377.14011,0
1009110024030,13.20,0.05,311.04063,-10.72352,54385.12592,0
1009110024030,13.22,0.05,311.04063,-10.72349,54385.13354,0
1009110024030,13.20,0.05,311.04065,-10.72352,54385.14116,0
1009110024030,13.19,0.05,311.04064,-10.72353,54385.14894,0
1009110024030,13.12,0.05,311.04063,-10.72353,54347.30408,0
1009110024030,13.15,0.05,311.04067,-10.72351,54347.31995,0
1009110024030,13.15,0.05,311.04069,-10.72350,54347.32810,0
1009110024030,13.17,0.05,311.04060,-10.72354,54347.33622,0
1009110024030,13.17,0.05,311.04061,-10.72351,54353.18029,0
1009110024030,13.15,0.05,311.04063,-10.72354,54353.18739,0
1009110024030,13.15,0.05,311.04062,-10.72351,54353.19450,0
1009110024030,13.16,0.05,311.04064,-10.72352,54353.20159,0
1009110024030,13.07,0.05,311.04064,-10.72348,54596.42266,0
1009110024030,13.07,0.05,311.04062,-10.72357,54596.42971,0
1009110024030,13.06,0.05,311.04063,-10.72354,54596.43678,0
1009110024030,13.07,0.05,311.04063,-10.72352,54596.44390,0
1009110024030,12.90,0.05,311.04065,-10.72351,54790.06110,0
1009110024030,12.90,0.05,311.04065,-10.72352,54790.06747,0
1009110024030,12.89,0.05,311.04066,-10.72351,54790.07372,0
1009110024030,12.91,0.05,311.04064,-10.72353,54790.07984,0
1009110024030,12.89,0.05,311.04064,-10.72351,54768.07633,0
1009110024030,12.89,0.05,311.04065,-10.72355,54768.08221,0
1009110024030,12.89,0.05,311.04064,-10.72352,54768.08802,0
1009110024030,12.89,0.05,311.04063,-10.72351,54768.09382,0
1009110024030,13.12,0.05,311.04063,-10.72351,54716.22946,0
1009110024030,13.84,0.06,311.04068,-10.72350,54716.23649,0
1009110024030,13.12,0.05,311.04064,-10.72353,54716.24497,0
1009110024030,13.12,0.05,311.04064,-10.72353,54716.25198,0
1009110024030,13.10,0.05,311.04064,-10.72354,54729.14015,0
1009110024030,13.10,0.05,311.04059,-10.72362,54729.14664,0
1009110024030,13.09,0.05,311.04057,-10.72363,54729.15314,0
1009110024030,13.10,0.05,311.04058,-10.72362,54729.15964,0
1009110024030,12.82,0.05,311.04060,-10.72351,55072.18245,0
1009110024030,12.84,0.05,311.04062,-10.72351,55072.18926,0
1009110024030,12.83,0.05,311.04064,-10.72352,55072.19590,0
1009110024030,12.83,0.05,311.04066,-10.72354,55072.20269,0
1009110024030,12.94,0.06,311.04066,-10.72346,55023.40826,0
1009110024030,12.93,0.06,311.04064,-10.72353,55023.41072,0
1009110024030,12.95,0.06,311.04069,-10.72347,55023.41699,0
1009110024030,12.95,0.06,311.04061,-10.72355,55023.42179,0
1009110024030,12.90,0.05,311.04063,-10.72353,55039.28903,0
1009110024030,12.89,0.05,311.04065,-10.72351,55039.29736,0
1009110024030,12.89,0.05,311.04063,-10.72353,55039.30580,0
1009110024030,12.89,0.05,311.04061,-10.72352,55039.31419,0
1009110024030,12.96,0.05,311.04064,-10.72353,54997.38670,0
1009110024030,12.92,0.05,311.04065,-10.72354,54997.39160,0
1009110024030,13.04,0.05,311.04047,-10.72522,54997.39652,0
1009110024030,12.93,0.05,311.04076,-10.72205,54997.39652,1
1009110024030,12.92,0.05,311.04062,-10.72352,54997.40130,0
1009110024030,13.00,0.05,311.04061,-10.72352,54952.43757,0
1009110024030,12.98,0.05,311.04061,-10.72351,54952.44488,0
1009110024030,12.99,0.05,311.04063,-10.72352,54952.45212,0
1009110024030,13.00,0.05,311.04061,-10.72350,54952.45945,0
1009110024030,12.89,0.05,311.04065,-10.72351,55143.06788,0
1009110024030,12.88,0.05,311.04065,-10.72349,55143.07453,0
1009110024030,12.89,0.05,311.04065,-10.72352,55143.08121,0
1009110024030,12.89,0.05,311.04064,-10.72350,55143.08790,0
1009110024030,12.87,0.05,311.04063,-10.72350,55153.07789,0
1009110024030,12.89,0.05,311.04065,-10.72350,55153.08521,0
1009110024030,12.88,0.05,311.04064,-10.72351,55153.09236,0
1009110024030,12.88,0.05,311.04065,-10.72348,55153.09952,0
1009110024030,12.93,0.05,311.04065,-10.72353,55161.06191,0
1009110024030,12.92,0.05,311.04063,-10.72351,55161.06581,0
1009110024030,12.91,0.05,311.04064,-10.72349,55161.06951,0
1009110024030,12.92,0.05,311.04066,-10.72350,55161.07340,0
1009110024030,12.90,0.05,311.04065,-10.72350,55126.12280,0
1009110024030,12.88,0.05,311.04064,-10.72349,55126.12779,0
1009110024030,12.88,0.05,311.04060,-10.72351,55126.13275,0
1009110024030,12.89,0.05,311.04067,-10.72351,55126.13757,0
1009110024030,12.86,0.05,311.04064,-10.72352,55088.15685,0
1009110024030,12.87,0.05,311.04063,-10.72352,55088.16072,0
1009110024030,12.86,0.05,311.04061,-10.72352,55088.17738,0
1009110024030,12.89,0.05,311.04062,-10.72352,55092.19831,0
1009110024030,12.88,0.05,311.04064,-10.72352,55092.20668,0
1009110024030,12.90,0.05,311.04065,-10.72352,55092.21510,0
1009110024030,12.91,0.05,311.04064,-10.72352,55092.22356,0
1009110024030,12.79,0.05,311.04061,-10.72349,55383.30490,0
1009110024030,12.79,0.05,311.04061,-10.72349,55383.31008,0
1009110024030,12.78,0.05,311.04060,-10.72350,55383.31523,0
1009110024030,12.78,0.05,311.04060,-10.72351,55383.32042,0
1009110024030,12.83,0.05,311.04059,-10.72350,55351.40490,0
1009110024030,12.90,0.05,311.04063,-10.72351,55351.41237,0
1009110024030,12.88,0.05,311.04061,-10.72350,55351.41998,0
1009110024030,12.84,0.05,311.04060,-10.72350,55351.42755,0
1009110024030,12.80,0.05,311.04062,-10.72353,55360.35286,0
1009110024030,12.79,0.05,311.04063,-10.72353,55360.36161,0
1009110024030,12.86,0.05,311.04055,-10.72347,55360.37031,0
1009110024030,12.84,0.05,311.04062,-10.72351,55360.37895,0
1009110024030,12.88,0.05,311.04060,-10.72355,55326.42120,0
1009110024030,12.87,0.05,311.04061,-10.72349,55326.42862,0
1009110024030,12.86,0.05,311.04059,-10.72351,55326.43612,0
1009110024030,12.87,0.05,311.04055,-10.72345,55326.44366,0
1009110024030,12.89,0.05,311.04062,-10.72352,55334.41680,0
1009110024030,12.80,0.05,311.04060,-10.72352,55334.42260,0
1009110024030,12.89,0.05,311.04062,-10.72353,55334.43593,0
1009110024030,12.77,0.05,311.04062,-10.72353,55334.44174,0
1009110024030,12.93,0.05,311.04062,-10.72352,55501.07144,0
1009110024030,12.93,0.05,311.04062,-10.72350,55501.08398,0
1009110024030,12.91,0.05,311.04063,-10.72352,55501.09030,0
1009110024030,12.87,0.05,311.04064,-10.72352,55516.06822,0
1009110024030,12.87,0.05,311.04062,-10.72354,55516.07905,0
1009110024030,12.88,0.05,311.04064,-10.72353,55516.08452,0
1009110024030,12.85,0.05,311.04061,-10.72354,55480.08442,0
1009110024030,12.85,0.05,311.04063,-10.72349,55480.09476,0
